zip,houseprice,ces,county,pctbytransit,crime,testscore
94709,1216795,11.05666667,Alameda County,0.142358002,601.1,2516.533333
94710,971781,32.275,Alameda County,0.142358002,601.1,2477.223077
94801,452474,44.94666667,Contra Costa County,0.103290324,336.5,2418.1625
94803,593117,15.8725,Contra Costa County,0.103290324,336.5,2466.7075
94804,582726,39.74857143,Contra Costa County,0.103290324,336.5,2444.1375
94805,683332,20.71,Contra Costa County,0.103290324,336.5,2460.28125
94806,480398,36.73272727,Contra Costa County,0.103290324,336.5,2459.638235
94945,870321,9.264,Marin County,0.097106463,176.4,2475.2
94965,1372734,12.16,Marin County,0.097106463,176.4,2611
95008,1356831,13.081,Santa Clara County,0.041395147,308.2,2387.6
95010,860005,11.75,Santa Cruz County,0.028278832,382,2557.2
95012,478425,27.53333333,Monterey County,0.019735509,406.9,2438.95
95018,665804,6.37,Santa Cruz County,0.028278832,382,2518.3
95020,768664,28.05,Santa Clara County,0.041395147,308.2,2458.7
95050,1173596,22.09,Santa Clara County,0.041395147,308.2,2466.6
95060,976154,14.01,Santa Cruz County,0.028278832,382,2517.2
95076,615124,24.85866667,Santa Cruz County,0.028278832,382,2507.4
95111,720952,31.932,Santa Clara County,0.041395147,308.2,2559.3
95116,666205,34.67,Santa Clara County,0.041395147,308.2,2462.8
95118,1132893,12.40428571,Santa Clara County,0.041395147,308.2,2366.8
95121,799302,25.41,Santa Clara County,0.041395147,308.2,2534.9
95122,684384,33.36333333,Santa Clara County,0.041395147,308.2,2466.2
95123,952165,14.87692308,Santa Clara County,0.041395147,308.2,2480.3
95127,744735,21.14636364,Santa Clara County,0.041395147,308.2,2482.15
95130,1467816,11.35666667,Santa Clara County,0.041395147,308.2,2520.1
95133,830965,30.92833333,Santa Clara County,0.041395147,308.2,2441.3
95136,982027,16.1175,Santa Clara County,0.041395147,308.2,2551.2
95138,1156773,15.22,Santa Clara County,0.041395147,308.2,2548
95202,248911,64.01,San Joaquin County,0.014272858,799.8,2464.3
95203,242992,67.145,San Joaquin County,0.014272858,799.8,2467.6
95204,260303,38.69,San Joaquin County,0.014272858,799.8,2450.6
95206,289164,60.1275,San Joaquin County,0.014272858,799.8,2452.7
95207,283121,39.12916667,San Joaquin County,0.014272858,799.8,2428.3
95209,349338,31.695,San Joaquin County,0.014272858,799.8,2419.4
95220,559670,21.535,San Joaquin County,0.014272858,799.8,2506.2
95240,329078,33.50076923,San Joaquin County,0.014272858,799.8,2444.9
95242,405945,18.67714286,San Joaquin County,0.014272858,799.8,2483.035714
95301,280690,39.3325,Merced County,0.010292235,563.6,2540.6
95303,381815,55.14,Merced County,0.010292235,563.6,2555.5
95320,414925,35.98,San Joaquin County,0.014272858,799.8,2535.6
95326,384533,40.84,Stanislaus County,0.009147599,598.3,2436.6
95341,221508,48.95111111,Merced County,0.010292235,563.6,2461.4
95350,290284,46.347,Stanislaus County,0.009147599,598.3,2444.15
95351,245780,59.088,Stanislaus County,0.009147599,598.3,2440.05
95354,260262,59.82333333,Stanislaus County,0.009147599,598.3,2481
95355,342525,33.805,Stanislaus County,0.009147599,598.3,2443
95356,366994,35.10571429,Stanislaus County,0.009147599,598.3,2487.3
95376,451201,35.57555556,San Joaquin County,0.014272858,799.8,2432.4
95382,359762,30.8375,Stanislaus County,0.009147599,598.3,2439.3
95608,402325,21.39461538,Sacramento County,0.027123387,487.8,2424.4
95616,705360,14.16,Yolo County,0.038748706,258.8,2488.2
95620,449255,23.278,Solano County,0.028235294,483,2465.25
95630,555003,7.861333333,Sacramento County,0.027123387,487.8,2491.3
95632,377513,23.265,Sacramento County,0.027123387,487.8,2534.8
95660,257695,30.144,Sacramento County,0.027123387,487.8,2510.3
95695,382785,16.85142857,Yolo County,0.038748706,258.8,2473.4
95758,395887,21.54818182,Sacramento County,0.027123387,487.8,2466.9
95815,235173,42.89571429,Sacramento County,0.027123387,487.8,2481.4
95816,542468,24.882,Sacramento County,0.027123387,487.8,2438.6
95817,367652,32.5375,Sacramento County,0.027123387,487.8,2406.65
95820,278425,34.57375,Sacramento County,0.027123387,487.8,2446.2
95823,283196,35.79846154,Sacramento County,0.027123387,487.8,2413.9
95825,300646,32.90666667,Sacramento County,0.027123387,487.8,2378.2
95827,322079,33.276,Sacramento County,0.027123387,487.8,2414
95831,460770,16.32,Sacramento County,0.027123387,487.8,2528.3
